frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
56,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xF8127400,0x00000007,0x07,0x07,13328,768,2443,2149,1,07007412F810340003
57,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xFA127400,0x00000007,0x07,0x07,12816,768,2443,2150,1,07007412FA10320003
58,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xFC127400,0x00000007,0x07,0x07,12816,768,2443,2151,1,07007412FC10320003
59,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xFE127400,0x00000007,0x07,0x07,12816,768,2443,2152,1,07007412FE10320003
60,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0xFE127400,0x00000007,0x07,0x07,13328,768,2443,2152,1,07007412FE10340003
61,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x00127400,0x00000007,0x07,0x07,13329,768,2443,2153,1,070074120011340003
62,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x02127200,0x00000007,0x07,0x07,13329,768,2442,2154,1,070072120211340003
63,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x04127200,0x00000007,0x07,0x07,13841,768,2442,2155,1,070072120411360003
64,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x06127200,0x00000007,0x07,0x07,13841,768,2442,2156,1,070072120611360003
65,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x06127200,0x00000007,0x07,0x07,14353,768,2442,2156,1,070072120611380003
66,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x06127200,0x00000007,0x07,0x07,15377,768,2442,2156,1,0700721206113C0003
67,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x06127200,0x00000007,0x07,0x07,16401,768,2442,2156,1,070072120611400003
68,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x06127200,0x00000007,0x07,0x07,18449,768,2442,2156,1,070072120611480003
69,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x08127200,0x00000007,0x07,0x07,21009,768,2442,2157,1,070072120811520003
70,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x821C8600,0x00000004,0x04,0x07,1037,768,3776,1710,1,0400861C820D040003
