frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
74,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x94131200,0x00000000,0x01,0x03,18959,768,2525,1973,1,01001213940F4A0003
74,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x761B3600,0x00000001,0x03,0x03,10764,768,3602,1578,10,0300361B760C2A0003
75,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x94131200,0x00000000,0x01,0x03,18959,768,2525,1973,1,01001213940F4A0003
75,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x761B3600,0x00000001,0x03,0x03,10764,768,3602,1578,10,0300361B760C2A0003
76,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x94131200,0x00000000,0x01,0x03,18959,768,2525,1973,1,01001213940F4A0003
76,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x761B3400,0x00000001,0x03,0x03,10764,768,3601,1578,10,0300341B760C2A0003
77,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x94131200,0x00000000,0x01,0x03,18959,768,2525,1973,1,01001213940F4A0003
77,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x761B3600,0x00000001,0x03,0x03,10764,768,3602,1578,10,0300361B760C2A0003
78,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x94131200,0x00000000,0x01,0x03,18447,768,2525,1973,1,01001213940F480003
78,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x761B3600,0x00000001,0x03,0x03,10764,768,3602,1578,10,0300361B760C2A0003
79,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131000,0x00000000,0x01,0x03,18447,768,2524,1974,1,01001013960F480003
79,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x781B3600,0x00000001,0x03,0x03,10764,768,3602,1579,10,0300361B780C2A0003
80,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x94131000,0x00000000,0x01,0x03,18447,768,2524,1973,1,01001013940F480003
80,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x781B3400,0x00000001,0x03,0x03,10764,768,3601,1579,10,0300341B780C2A0003
81,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x94131000,0x00000000,0x01,0x03,18447,768,2524,1973,1,01001013940F480003
81,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x781B3400,0x00000001,0x03,0x03,10764,768,3601,1579,10,0300341B780C2A0003
82,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131000,0x00000000,0x01,0x03,18447,768,2524,1974,1,01001013960F480003
82,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7A1B3400,0x00000001,0x03,0x03,10764,768,3601,1580,10,0300341B7A0C2A0003
83,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131000,0x00000000,0x01,0x03,18447,768,2524,1974,1,01001013960F480003
83,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7A1B3400,0x00000001,0x03,0x03,10764,768,3601,1580,10,0300341B7A0C2A0003
84,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131200,0x00000000,0x01,0x03,18447,768,2525,1974,1,01001213960F480003
84,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7A1B3600,0x00000001,0x03,0x03,10764,768,3602,1580,10,0300361B7A0C2A0003
85,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131200,0x00000000,0x01,0x03,18447,768,2525,1974,1,01001213960F480003
85,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7A1B3600,0x00000001,0x03,0x03,10764,768,3602,1580,10,0300361B7A0C2A0003
86,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131000,0x00000000,0x01,0x03,18447,768,2524,1974,1,01001013960F480003
86,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3600,0x00000001,0x03,0x03,10764,768,3602,1581,10,0300361B7C0C2A0003
87,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x98131200,0x00000000,0x01,0x03,18447,768,2525,1975,1,01001213980F480003
87,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3400,0x00000001,0x03,0x03,10764,768,3601,1581,10,0300341B7C0C2A0003
88,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x98131200,0x00000000,0x01,0x03,18447,768,2525,1975,1,01001213980F480003
88,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3400,0x00000001,0x03,0x03,10764,768,3601,1581,10,0300341B7C0C2A0003
89,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x98131200,0x00000000,0x01,0x03,18447,768,2525,1975,1,01001213980F480003
89,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3600,0x00000001,0x03,0x03,10764,768,3602,1581,10,0300361B7C0C2A0003
90,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131200,0x00000000,0x01,0x03,18447,768,2525,1974,1,01001213960F480003
90,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3600,0x00000001,0x03,0x03,10764,768,3602,1581,10,0300361B7C0C2A0003
91,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131200,0x00000000,0x01,0x03,18447,768,2525,1974,1,01001213960F480003
91,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3600,0x00000001,0x03,0x03,10764,768,3602,1581,10,0300361B7C0C2A0003
92,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131200,0x00000000,0x01,0x03,18447,768,2525,1974,1,01001213960F480003
92,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3600,0x00000001,0x03,0x03,10764,768,3602,1581,10,0300361B7C0C2A0003
93,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131200,0x00000000,0x01,0x03,18959,768,2525,1974,1,01001213960F4A0003
93,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3800,0x00000001,0x03,0x03,10764,768,3603,1581,10,0300381B7C0C2A0003
94,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131200,0x00000000,0x01,0x03,19471,768,2525,1974,1,01001213960F4C0003
94,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3800,0x00000001,0x03,0x03,10764,768,3603,1581,10,0300381B7C0C2A0003
95,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131000,0x00000000,0x01,0x03,19471,768,2524,1974,1,01001013960F4C0003
95,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3800,0x00000001,0x03,0x03,10764,768,3603,1581,10,0300381B7C0C2A0003
96,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x98131000,0x00000000,0x01,0x03,19471,768,2524,1975,1,01001013980F4C0003
96,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3800,0x00000001,0x03,0x03,10764,768,3603,1581,10,0300381B7C0C2A0003
97,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x98131000,0x00000000,0x01,0x03,19471,768,2524,1975,1,01001013980F4C0003
97,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3A00,0x00000001,0x03,0x03,10764,768,3604,1581,10,03003A1B7C0C2A0003
98,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x96131000,0x00000000,0x01,0x03,19471,768,2524,1974,1,01001013960F4C0003
98,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3A00,0x00000001,0x03,0x03,10764,768,3604,1581,10,03003A1B7C0C2A0003
99,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x98130E00,0x00000000,0x01,0x03,19471,768,2523,1975,1,01000E13980F4C0003
99,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7E1B3A00,0x00000001,0x03,0x03,10764,768,3604,1582,10,03003A1B7E0C2A0003
100,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x98130E00,0x00000000,0x01,0x03,19471,768,2523,1975,1,01000E13980F4C0003
100,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3A00,0x00000001,0x03,0x03,10764,768,3604,1581,10,03003A1B7C0C2A0003
101,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x98130C00,0x00000000,0x01,0x03,18959,768,2521,1975,1,01000C13980F4A0003
101,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3A00,0x00000001,0x03,0x03,10764,768,3604,1581,10,03003A1B7C0C2A0003
102,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x9A130C00,0x00000000,0x01,0x03,18959,768,2521,1976,1,01000C139A0F4A0003
102,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3C00,0x00000001,0x03,0x03,10252,768,3605,1581,10,03003C1B7C0C280003
103,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x9A130A00,0x00000000,0x01,0x03,18959,768,2520,1976,1,01000A139A0F4A0003
103,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7C1B3A00,0x00000001,0x03,0x03,10252,768,3604,1581,10,03003A1B7C0C280003
104,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x9C130A00,0x00000000,0x01,0x03,18959,768,2520,1977,1,01000A139C0F4A0003
104,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7E1B3C00,0x00000001,0x03,0x03,9740,768,3605,1582,10,03003C1B7E0C260003
105,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x9C130A00,0x00000000,0x01,0x03,18959,768,2520,1977,1,01000A139C0F4A0003
105,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7E1B3C00,0x00000001,0x03,0x03,9740,768,3605,1582,10,03003C1B7E0C260003
106,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x9C130A00,0x00000000,0x01,0x03,18959,768,2520,1977,1,01000A139C0F4A0003
106,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7E1B3C00,0x00000001,0x03,0x03,9740,768,3605,1582,10,03003C1B7E0C260003
107,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x9C130A00,0x00000000,0x01,0x03,18959,768,2520,1977,1,01000A139C0F4A0003
107,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x7E1B3A00,0x00000001,0x03,0x03,9740,768,3604,1582,10,03003A1B7E0C260003
